Angle Intensity Error
28.820 361.000 1.000
28.840 335.000 1.000
28.860 329.000 1.000
28.880 335.000 1.000
28.900 331.000 1.000
28.920 344.000 1.000
28.940 350.000 1.000
28.960 333.000 1.000
28.980 328.000 1.000
29.000 326.000 1.000
29.020 329.000 1.000
29.040 331.000 1.000
29.060 313.000 1.000
29.080 292.000 1.000
29.100 331.000 1.000
29.120 330.000 1.000
29.140 322.000 1.000
29.160 302.000 1.000
29.180 303.000 1.000
29.200 338.000 1.000
29.220 339.000 1.000
29.240 291.000 1.000
29.260 289.000 1.000
29.280 302.000 1.000
29.300 336.000 1.000
29.320 320.000 1.000
29.340 327.000 1.000
29.360 334.000 1.000
29.380 359.000 1.000
29.400 320.000 1.000
29.420 338.000 1.000
29.440 367.000 1.000
29.460 385.000 1.000
29.480 389.000 1.000
29.500 395.000 1.000
29.520 428.000 1.000
29.540 423.000 1.000
29.560 442.000 1.000
29.580 472.000 1.000
29.600 470.000 1.000
29.620 485.000 1.000
29.640 426.000 1.000
29.660 420.000 1.000
29.680 424.000 1.000
29.700 402.000 1.000
29.720 385.000 1.000
29.740 353.000 1.000
29.760 321.000 1.000
29.780 322.000 1.000
29.800 351.000 1.000
29.820 326.000 1.000
29.840 311.000 1.000
29.860 321.000 1.000
29.880 286.000 1.000
29.900 288.000 1.000
29.920 277.000 1.000
29.940 316.000 1.000
29.960 280.000 1.000
29.980 279.000 1.000
30.000 304.000 1.000
30.020 305.000 1.000
30.040 282.000 1.000
30.060 280.000 1.000
30.080 273.000 1.000
30.100 293.000 1.000
30.120 271.000 1.000
30.140 287.000 1.000
30.160 285.000 1.000
30.180 289.000 1.000
30.200 282.000 1.000
30.220 294.000 1.000
30.240 302.000 1.000
30.260 282.000 1.000
30.280 285.000 1.000
30.300 278.000 1.000
30.320 264.000 1.000
30.340 259.000 1.000
30.360 260.000 1.000
30.380 258.000 1.000
30.400 254.000 1.000
30.420 268.000 1.000
30.440 285.000 1.000
30.460 276.000 1.000
30.480 277.000 1.000
30.500 268.000 1.000
30.520 263.000 1.000
30.540 263.000 1.000
30.560 268.000 1.000
30.580 265.000 1.000
30.600 268.000 1.000
30.620 265.000 1.000
30.640 260.000 1.000
30.660 289.000 1.000
30.680 257.000 1.000
30.700 266.000 1.000
30.720 273.000 1.000
30.740 242.000 1.000
30.760 253.000 1.000
30.780 274.000 1.000
30.800 290.000 1.000
30.820 247.000 1.000
30.840 250.000 1.000
30.860 250.000 1.000
30.880 272.000 1.000
30.900 260.000 1.000
30.920 281.000 1.000
30.940 275.000 1.000
30.960 279.000 1.000
30.980 251.000 1.000
31.000 253.000 1.000
31.020 261.000 1.000
31.040 269.000 1.000
31.060 249.000 1.000
31.080 265.000 1.000
31.100 284.000 1.000
31.120 278.000 1.000
31.140 282.000 1.000
31.160 260.000 1.000
31.180 252.000 1.000
31.200 275.000 1.000
31.220 276.000 1.000
31.240 276.000 1.000
31.260 283.000 1.000
31.280 252.000 1.000
31.300 239.000 1.000
31.320 256.000 1.000
31.340 278.000 1.000
31.360 243.000 1.000
31.380 267.000 1.000
31.400 275.000 1.000
